User_ID,Post_ID,Interaction_Type,Interaction_Timestamp,Post_Timestamp,Post_Content
user_0,post_8313,share,2023-09-21 00:36:30.083462,2023-10-17 00:36:29.988260,This is a post about politics
user_0,post_9516,like,2024-02-09 00:36:30.083462,2024-01-10 00:36:30.010124,This is a post about science
user_1,post_9405,comment,2024-06-28 00:36:30.083462,2023-12-30 00:36:30.009119,This is a post about sports
user_126,post_9405,seen,2023-11-01 00:36:30.101996,2023-12-30 00:36:30.009119,This is a post about sports
user_156,post_9405,seen,2024-01-25 00:36:30.106999,2023-12-30 00:36:30.009119,This is a post about sports
user_1,post_7423,share,2023-09-12 00:36:30.083462,2024-03-27 00:36:29.980253,This is a post about entertainment
user_1,post_2713,seen,2023-09-04 00:36:30.083462,2023-08-27 00:36:29.929337,This is a post about technology
user_212,post_2713,seen,2023-09-29 00:36:30.115490,2023-08-27 00:36:29.929337,This is a post about technology
user_1,post_9384,seen,2023-08-22 00:36:30.083462,2023-10-27 00:36:30.009119,This is a post about sports
user_393,post_9384,share,2023-09-16 00:36:30.145864,2023-10-27 00:36:30.009119,This is a post about sports
user_535,post_9384,seen,2024-03-12 00:36:30.166511,2023-10-27 00:36:30.009119,This is a post about sports
user_1,post_9383,seen,2023-08-05 00:36:30.083462,2024-02-10 00:36:30.009119,This is a post about technology
user_1,post_4856,seen,2024-05-22 00:36:30.083462,2023-08-03 00:36:29.957108,This is a post about sports
user_1,post_8555,share,2024-04-23 00:36:30.083462,2023-11-21 00:36:29.990261,This is a post about entertainment
user_1,post_8769,share,2023-09-14 00:36:30.083462,2024-05-04 00:36:30.003122,This is a post about technology
user_779,post_8769,share,2024-06-14 00:36:30.191668,2024-05-04 00:36:30.003122,This is a post about technology
user_805,post_8769,share,2024-02-23 00:36:30.197874,2024-05-04 00:36:30.003122,This is a post about technology
user_1,post_6293,comment,2024-04-22 00:36:30.083462,2024-02-18 00:36:29.971248,This is a post about technology
user_1,post_5412,like,2024-02-07 00:36:30.083462,2024-02-09 00:36:29.963243,This is a post about politics
user_823,post_5412,comment,2023-12-12 00:36:30.200481,2024-02-09 00:36:29.963243,This is a post about politics
user_2,post_8199,share,2023-09-19 00:36:30.083462,2024-01-17 00:36:29.987258,This is a post about entertainment
user_3,post_3185,comment,2024-03-31 00:36:30.083462,2024-01-31 00:36:29.934339,This is a post about technology
user_916,post_3185,like,2024-05-28 00:36:30.211488,2024-01-31 00:36:29.934339,This is a post about technology
user_3,post_1775,comment,2024-03-14 00:36:30.083462,2023-11-23 00:36:29.917079,This is a post about politics
user_3,post_4823,comment,2023-11-29 00:36:30.083462,2023-08-08 00:36:29.957108,This is a post about politics
user_3,post_6622,like,2023-12-11 00:36:30.083462,2023-07-19 00:36:29.974250,This is a post about politics
user_3,post_376,seen,2024-04-18 00:36:30.083462,2024-04-30 00:36:29.906870,This is a post about technology
user_783,post_376,seen,2024-04-22 00:36:30.192668,2024-04-30 00:36:29.906870,This is a post about technology
user_3,post_6520,like,2023-11-15 00:36:30.083462,2023-09-08 00:36:29.973249,This is a post about entertainment
user_402,post_6520,comment,2024-01-14 00:36:30.146864,2023-09-08 00:36:29.973249,This is a post about entertainment
user_3,post_6843,like,2023-08-13 00:36:30.083462,2024-03-02 00:36:29.976252,This is a post about politics
user_3,post_7241,comment,2024-03-18 00:36:30.083462,2024-07-03 00:36:29.979253,This is a post about politics
user_165,post_7241,share,2023-08-22 00:36:30.108000,2024-07-03 00:36:29.979253,This is a post about politics
user_3,post_5070,comment,2023-10-14 00:36:30.083462,2023-08-05 00:36:29.959109,This is a post about science
user_68,post_5070,like,2023-07-31 00:36:30.093990,2023-08-05 00:36:29.959109,This is a post about science
user_467,post_5070,comment,2024-04-06 00:36:30.156870,2023-08-05 00:36:29.959109,This is a post about science
user_3,post_9940,comment,2024-01-22 00:36:30.083462,2023-12-07 00:36:30.014298,This is a post about sports
user_56,post_9940,seen,2024-03-02 00:36:30.091990,2023-12-07 00:36:30.014298,This is a post about sports
user_179,post_9940,like,2023-10-29 00:36:30.111002,2023-12-07 00:36:30.014298,This is a post about sports
user_3,post_9869,share,2023-08-09 00:36:30.083462,2023-07-26 00:36:30.014298,This is a post about sports
user_765,post_9869,seen,2024-02-02 00:36:30.189663,2023-07-26 00:36:30.014298,This is a post about sports
user_3,post_3997,comment,2023-08-05 00:36:30.083462,2024-05-01 00:36:29.948100,This is a post about entertainment
user_60,post_3997,like,2023-09-09 00:36:30.091990,2024-05-01 00:36:29.948100,This is a post about entertainment
user_3,post_9193,like,2024-02-12 00:36:30.083462,2024-04-26 00:36:30.007123,This is a post about entertainment
user_604,post_9193,seen,2023-10-18 00:36:30.173519,2024-04-26 00:36:30.007123,This is a post about entertainment
user_3,post_50,share,2023-12-11 00:36:30.083462,2023-10-06 00:36:29.902866,This is a post about science
user_3,post_1930,comment,2023-07-17 00:36:30.083462,2023-07-25 00:36:29.918080,This is a post about politics
user_381,post_1930,seen,2023-12-02 00:36:30.143862,2023-07-25 00:36:29.918080,This is a post about politics
user_665,post_1930,comment,2024-01-02 00:36:30.179524,2023-07-25 00:36:29.918080,This is a post about politics
user_872,post_1930,like,2023-08-11 00:36:30.206484,2023-07-25 00:36:29.918080,This is a post about politics
user_3,post_9277,seen,2024-01-14 00:36:30.083462,2023-08-12 00:36:30.008123,This is a post about entertainment
user_3,post_490,comment,2023-12-12 00:36:30.083462,2024-02-15 00:36:29.907872,This is a post about sports
user_438,post_490,like,2024-02-08 00:36:30.151867,2024-02-15 00:36:29.907872,This is a post about sports
user_3,post_9674,share,2023-10-02 00:36:30.083462,2024-02-27 00:36:30.011125,This is a post about science
user_3,post_2402,seen,2023-08-03 00:36:30.083462,2024-05-12 00:36:29.925334,This is a post about entertainment
user_201,post_2402,comment,2023-07-28 00:36:30.113004,2024-05-12 00:36:29.925334,This is a post about entertainment
user_3,post_4358,like,2023-09-29 00:36:30.083462,2023-12-01 00:36:29.952105,This is a post about entertainment
user_37,post_4358,seen,2023-12-07 00:36:30.088583,2023-12-01 00:36:29.952105,This is a post about entertainment
user_318,post_4358,like,2024-06-28 00:36:30.132522,2023-12-01 00:36:29.952105,This is a post about entertainment
user_4,post_9386,seen,2024-01-12 00:36:30.083462,2024-05-01 00:36:30.009119,This is a post about technology
user_4,post_6667,like,2024-03-18 00:36:30.083462,2023-11-27 00:36:29.974250,This is a post about science
user_817,post_6667,seen,2023-07-13 00:36:30.199482,2023-11-27 00:36:29.974250,This is a post about science
user_4,post_244,seen,2023-12-01 00:36:30.083462,2023-11-01 00:36:29.904869,This is a post about sports
user_99,post_244,like,2023-08-23 00:36:30.097993,2023-11-01 00:36:29.904869,This is a post about sports
user_171,post_244,share,2024-01-08 00:36:30.109001,2023-11-01 00:36:29.904869,This is a post about sports
user_452,post_244,comment,2024-04-22 00:36:30.154869,2023-11-01 00:36:29.904869,This is a post about sports
user_4,post_1609,comment,2024-03-31 00:36:30.083462,2024-02-18 00:36:29.916079,This is a post about technology
user_680,post_1609,comment,2024-02-27 00:36:30.180523,2024-02-18 00:36:29.916079,This is a post about technology
user_926,post_1609,comment,2023-08-26 00:36:30.212488,2024-02-18 00:36:29.916079,This is a post about technology
user_4,post_8659,share,2023-09-18 00:36:30.083462,2023-08-16 00:36:30.002120,This is a post about science
user_334,post_8659,comment,2023-09-27 00:36:30.135523,2023-08-16 00:36:30.002120,This is a post about science
user_4,post_5518,like,2024-02-29 00:36:30.083462,2024-04-29 00:36:29.964245,This is a post about politics
user_73,post_5518,comment,2023-10-01 00:36:30.094991,2024-04-29 00:36:29.964245,This is a post about politics
user_158,post_5518,share,2023-10-02 00:36:30.106999,2024-04-29 00:36:29.964245,This is a post about politics
user_220,post_5518,comment,2024-06-21 00:36:30.116510,2024-04-29 00:36:29.964245,This is a post about politics
user_535,post_5518,share,2024-07-03 00:36:30.166511,2024-04-29 00:36:29.964245,This is a post about politics
user_4,post_3146,share,2023-12-15 00:36:30.083462,2023-09-01 00:36:29.933339,This is a post about entertainment
user_839,post_3146,share,2024-07-03 00:36:30.201481,2023-09-01 00:36:29.933339,This is a post about entertainment
user_4,post_8871,comment,2024-03-05 00:36:30.083462,2023-07-17 00:36:30.004122,This is a post about science
user_383,post_8871,comment,2024-02-01 00:36:30.143862,2023-07-17 00:36:30.004122,This is a post about science
user_387,post_8871,comment,2023-10-14 00:36:30.144862,2023-07-17 00:36:30.004122,This is a post about science
user_480,post_8871,seen,2024-04-12 00:36:30.158871,2023-07-17 00:36:30.004122,This is a post about science
user_4,post_9627,share,2023-10-20 00:36:30.083462,2024-05-20 00:36:30.011125,This is a post about sports
user_64,post_9627,like,2023-11-19 00:36:30.092990,2024-05-20 00:36:30.011125,This is a post about sports
user_605,post_9627,like,2023-09-09 00:36:30.174520,2024-05-20 00:36:30.011125,This is a post about sports
user_4,post_4454,like,2024-06-21 00:36:30.083462,2023-12-21 00:36:29.953105,This is a post about science
user_284,post_4454,comment,2023-11-06 00:36:30.127519,2023-12-21 00:36:29.953105,This is a post about science
user_4,post_2690,seen,2024-03-14 00:36:30.083462,2023-09-17 00:36:29.929337,This is a post about sports
user_4,post_16,like,2023-07-31 00:36:30.083462,2024-03-17 00:36:29.902866,This is a post about technology
user_338,post_16,seen,2023-08-12 00:36:30.136524,2024-03-17 00:36:29.902866,This is a post about technology
user_4,post_8419,seen,2023-09-03 00:36:30.083462,2023-08-01 00:36:29.989260,This is a post about science
user_5,post_6378,like,2024-06-08 00:36:30.083462,2024-05-05 00:36:29.972249,This is a post about sports
user_5,post_1913,seen,2023-10-23 00:36:30.083462,2023-11-25 00:36:29.918080,This is a post about technology
user_169,post_1913,comment,2024-05-13 00:36:30.109001,2023-11-25 00:36:29.918080,This is a post about technology
user_5,post_3310,like,2024-05-26 00:36:30.083462,2023-11-20 00:36:29.935339,This is a post about technology
user_5,post_3167,share,2024-06-23 00:36:30.083462,2023-08-25 00:36:29.934339,This is a post about politics
user_277,post_3167,share,2024-04-08 00:36:30.126518,2023-08-25 00:36:29.934339,This is a post about politics
user_472,post_3167,share,2023-08-05 00:36:30.157871,2023-08-25 00:36:29.934339,This is a post about politics
